Platform,Workload,Architecture_Type,Perf_W,Efficiency_Score,Suitability
El Capitan,AI Climate Modeling and Prediction,Quantum,1595.16,0.52,Low
El Capitan,Quantum Climate Modeling,FPGA,1718.25,0.55,Medium
El Capitan,Radiation Transport Modeling,GPU-based,101.6,0.91,High
El Capitan,Accelerator Beam Dynamics Simulation,CPU-based,1182.64,0.97,High
El Capitan,Nuclear Structure and Reactions Modeling,Hybrid,28.12,0.92,Low
El Capitan,Plasma Fusion Simulation,Quantum,453.39,0.9,High
El Capitan,Geophysical Hazard Prediction,FPGA,1147.51,0.8,High
Leonardo,AI Climate Modeling and Prediction,GPU-based,73.25,0.55,Low
Leonardo,Computational Fluid Dynamics for Energy,CPU-based,624.33,0.55,Low
Leonardo,Computational Fluid Dynamics for Energy,Hybrid,507.05,0.55,Medium
Leonardo,AI Climate Modeling and Prediction,Quantum,16.48,0.64,Medium
Leonardo,Accelerator Beam Dynamics Simulation,FPGA,1018.55,0.77,High
Leonardo,Geophysical Hazard Prediction,GPU-based,188.9,0.9,Low
Leonardo,Cryogenic Detector Simulation,CPU-based,1897.27,0.87,High
Leonardo,Computational Fluid Dynamics for Energy,Hybrid,341.75,0.79,High
Leonardo,Geophysical Hazard Prediction,Quantum,323.49,0.91,Low
Leonardo,Turbulent Combustion Modeling,FPGA,867.49,0.63,High
Leonardo,Astrophysical Simulations,GPU-based,177,0.67,Medium
Leonardo,Renewable Energy Systems Optimization,CPU-based,1457.46,0.78,Low
Leonardo,Molecular Materials Discovery,Hybrid,1266.23,0.66,Low
Leonardo,Renewable Energy Systems Optimization,Quantum,1251.36,0.51,Medium
Leonardo,High Energy Physics Event Simulation,FPGA,590.65,0.93,Medium
Leonardo,Computational Fluid Dynamics for Energy,GPU-based,633.62,0.88,Low
Leonardo,Plasma Fusion Simulation,CPU-based,1848.23,0.99,Medium
Leonardo,Nuclear Structure and Reactions Modeling,Hybrid,99.2,0.72,Low
Leonardo,Computational Fluid Dynamics for Energy,Quantum,871,0.76,High
Leonardo,Turbulent Combustion Modeling,FPGA,1272.24,1,High
Leonardo,Cryogenic Detector Simulation,GPU-based,1154.58,0.5,Medium
Leonardo,Molecular Materials Discovery,CPU-based,992.93,0.74,Low
Leonardo,Geophysical Hazard Prediction,Hybrid,1722.08,0.88,High
Leonardo,Quantum Climate Modeling,Quantum,1810.4,0.84,Low
Leonardo,Accelerator Beam Dynamics Simulation,FPGA,1248.62,0.84,High
