Workload,Project_Name,Work_Units,Nodes,Power_per_Node_kW,Runtime_h,kWh,Perf_W,Key_Risks
Turbulent Combustion Modeling,Oxford Materials Modelling Laboratory Simulation Consortium,49969.43699,58,5.922262287,2.718946034,1042.33876,352.5735407,Compiler optimization issues
Renewable Energy Systems Optimization,SLAC National Accelerator Laboratory Machine Learning Group Applied Science Group,49501.04134,60,6.267544002,2.862764242,1055.919358,361.9047301,Unoptimized GPU kernel execution
Radiation Transport Modeling,Stanford Genome Technology Center Data Science Unit,52047.46292,62,5.802992174,2.475513745,874.8466854,352.6257967,"Scaling inefficiencies beyond 1,000 nodes"
Computational Chemistry for Energy Storage,Max Planck Institute for Plasma Physics Modeling Team,50274.84809,58,6.062827672,2.952063495,985.0019972,351.8575197,NUMA-related performance penalties
Plasma Fusion Simulation,SLAC National Accelerator Laboratory Machine Learning Group HPC Lab,48780.07987,54,6.464741882,2.955060875,903.2635598,334.8110658,Power consumption spikes during peak loads
Astrophysical Simulations,University of Chicago Quantum Information Science Group Data Science Unit,41480.6525,60,5.346494273,2.917779279,973.1103405,362.0447406,NUMA-related performance penalties
High-Resolution Earth System Simulation,University of Illinois National Center for Supercomputing Applications Research Group,50827.64881,58,5.408990882,2.70139708,1066.95329,357.1349262,Scheduler queue delays
Computational Chemistry for Energy Storage,LLNL High Energy Density Physics Group Applied Science Group,49501.01259,61,4.916948191,2.561207172,972.8146685,346.2048808,Unoptimized GPU kernel execution
Geophysical Hazard Prediction,Columbia University Earth Institute Modeling Team,47651.90935,60,5.898262264,2.525890729,897.6815419,358.6058967,GPU memory capacity limits
Turbulent Combustion Modeling,Berkeley Quantum Devices Group Science Collaboration,44983.11229,57,5.553782428,2.469352404,1086.15098,383.0822343,Dataset transfer delays between facilities
Renewable Energy Systems Optimization,NERSC Data and Analytics Services Scientific Computing Division,44491.11727,65,6.000428288,2.357675808,888.3185217,353.190485,Fault tolerance under long runs
Quantum Climate Modeling,Fermilab High Energy Physics Division Technology Development Team,46706.78167,53,5.564246154,2.75296366,932.5861209,384.160405,Insufficient profiling data for tuning
Genome-scale Systems Biology,Stanford Genome Technology Center Science Collaboration,49408.0592,59,6.105717991,2.730880827,834.4581457,371.7031883,"Scaling inefficiencies beyond 1,000 nodes"
Turbulent Combustion Modeling,University of Illinois National Center for Supercomputing Applications Technology Development Team,47686.74711,57,6.319709048,2.82344299,958.1364484,431.2238998,Power consumption spikes during peak loads
High-Resolution Earth System Simulation,Berkeley Quantum Devices Group Prediction Unit,48223.90673,59,5.544442173,2.435932776,960.1726301,394.4420694,MPI collective operation contention
Nuclear Structure and Reactions Modeling,ANL Materials Science Division Research Group,51099.29976,59,5.459904884,2.610813681,939.3357148,358.9207782,Interconnect congestion
Quantum Climate Modeling,Tokyo Institute of Technology HPC Center Prediction Unit,38063.32137,55,5.575580059,2.813057768,951.4573869,370.1509957,Compiler optimization issues
Plasma Fusion Simulation,SLAC National Accelerator Laboratory Machine Learning Group Applied Science Group,50675.43242,62,6.043830037,2.683897342,925.040324,367.2703032,Limited algorithmic scalability
Plasma Fusion Simulation,LBNL Computational Research Division Scientific Computing Division,51229.13147,63,6.294201999,2.74844677,1009.333805,324.2114067,Fault tolerance under long runs
Quantum Climate Modeling,Max Planck Institute for Plasma Physics Applied Science Group,47853.79297,67,6.134721556,2.59974414,911.5649551,374.1397521,MPI collective operation contention
Plasma Fusion Simulation,Columbia University Earth Institute Scientific Computing Division,49417.20265,62,5.937805011,2.543302974,1029.976745,335.0896802,Insufficient burst buffer capacity
Genome-scale Systems Biology,Harvard Center for the Environment Science Collaboration,50699.06787,63,5.09088748,2.449555187,898.8768628,374.3890059,Insufficient checkpoint/restart performance
High-Resolution Earth System Simulation,Oxford Materials Modelling Laboratory HPC Lab,50268.86675,54,5.563778411,2.728092277,919.5330893,381.164435,Power consumption spikes during peak loads
Plasma Fusion Simulation,Max Planck Institute for Plasma Physics Data Science Unit,50999.68218,58,6.132878303,2.623069649,1036.544916,370.7879022,Limited algorithmic scalability
Molecular Materials Discovery,Stanford Genome Technology Center HPC Lab,46847.08348,59,6.363940117,2.734557776,944.267255,364.2735272,Dependency on single vendor hardware
High Energy Physics Event Simulation,Harvard Center for the Environment Prediction Unit,49382.04959,66,5.260020682,2.585218263,1038.766054,351.878079,Limited algorithmic scalability
AI Climate Modeling and Prediction,Columbia University Earth Institute Data Science Unit,43510.09951,53,5.299637556,2.811999008,955.3560411,335.1274632,Network latency bottlenecks
Radiation Transport Modeling,Max Planck Institute for Plasma Physics Data Science Unit,54399.91711,57,5.392042141,2.829907967,941.1866162,330.7586373,Insufficient burst buffer capacity
Genome-scale Systems Biology,University of Chicago Quantum Information Science Group Modeling Team,55625.04909,59,5.591933636,2.368377755,894.0915458,364.1087733,Power consumption spikes during peak loads
Turbulent Combustion Modeling,LLNL High Energy Density Physics Group HPC Lab,51545.19331,60,5.737313341,2.402839026,995.6911997,347.0429946,Fault tolerance under long runs
Nuclear Structure and Reactions Modeling,Princeton Plasma Physics Laboratory Applied Science Group,46139.56951,57,5.961826716,2.952457657,1010.314064,350.7608794,Limited algorithmic scalability
High-Resolution Earth System Simulation,SLAC National Accelerator Laboratory Machine Learning Group Applied Science Group,54562.4735,60,5.621418907,2.513243179,924.8630939,371.0492674,Dependency on single vendor hardware
Renewable Energy Systems Optimization,Los Alamos National Laboratory Materials Physics and Applications Applied Science Group,46617.92938,62,6.470391899,2.289217236,870.6152795,343.0631444,Thermal throttling under sustained load
Nuclear Structure and Reactions Modeling,Berkeley Quantum Devices Group Modeling Team,47671.72659,56,5.850415829,2.79469768,1137.08111,347.2392591,Load imbalance in parallel workloads
Accelerator Beam Dynamics Simulation,ANL Materials Science Division Data Science Unit,53679.12443,66,5.675584011,2.754867253,841.0455291,370.0479884,Limited mixed-precision adoption
High-Resolution Earth System Simulation,University of Illinois National Center for Supercomputing Applications HPC Lab,51064.24975,58,6.25557101,2.616878894,969.8271864,389.9254585,Performance regression with new compiler versions
Exascale Astrophysical Plasma Simulation,LLNL High Energy Density Physics Group Research Group,44726.82165,58,5.861740058,2.41487343,923.0831107,369.8371839,Debugging complexity in large-scale runs
Nuclear Structure and Reactions Modeling,SLAC National Accelerator Laboratory Machine Learning Group Simulation Consortium,49634.74144,63,5.997839314,2.67903722,1103.727876,405.7355012,Interconnect congestion
Radiation Transport Modeling,Caltech Center for Advanced Computing Technology Development Team,47306.27038,63,5.68313862,2.804343564,1076.584975,388.6851043,Interconnect congestion
High-Resolution Earth System Simulation,NERSC Data and Analytics Services Science Collaboration,45164.05278,60,5.421564278,2.685303961,927.6604891,365.0385267,Limited algorithmic scalability
Cryogenic Detector Simulation,EPFL High Performance Computing Center Simulation Consortium,46978.53225,56,5.563003238,2.805570164,998.2403962,373.3413892,Scheduler queue delays
Plasma Fusion Simulation,Princeton Plasma Physics Laboratory Scientific Computing Division,44360.02015,56,5.537958782,2.684064697,923.4651654,348.4277787,Insufficient checkpoint/restart performance
Molecular Materials Discovery,ORNL Climate Change Science Institute Modeling Team,45152.27443,54,5.617299107,2.587077158,979.2603273,337.2076398,Unoptimized GPU kernel execution
Plasma Fusion Simulation,Los Alamos National Laboratory Materials Physics and Applications Science Collaboration,47975.81825,64,6.084666357,2.554738072,909.8651444,316.5281288,Dependency on single vendor hardware
Computational Fluid Dynamics for Energy,University of Chicago Quantum Information Science Group Modeling Team,45559.16736,50,5.991145687,2.468148358,962.5160329,319.1968656,Insufficient burst buffer capacity
Radiation Transport Modeling,Brookhaven National Laboratory Collider-Accelerator Department Modeling Team,50004.7165,56,5.694755095,2.929188612,894.6831626,369.8905811,Unoptimized GPU kernel execution
Molecular Materials Discovery,Caltech Center for Advanced Computing Technology Development Team,42235.20834,56,5.31482968,2.733083201,1105.644547,350.8347512,Scheduler queue delays
Plasma Fusion Simulation,Max Planck Institute for Plasma Physics Simulation Consortium,46480.75708,60,5.796709436,2.434602461,821.3406397,371.58091,Data preprocessing bottlenecks
Nuclear Structure and Reactions Modeling,University of Chicago Quantum Information Science Group Prediction Unit,45075.00914,62,5.981028367,2.67230451,1177.081411,380.162385,Data preprocessing bottlenecks
Renewable Energy Systems Optimization,LLNL High Energy Density Physics Group Science Collaboration,45198.92225,59,5.549207873,2.997935111,1054.197848,387.6624959,Algorithmic instability with large datasets
Radiation Transport Modeling,MIT Plasma Science and Fusion Center Prediction Unit,48174.39635,60,6.339133023,2.593710745,947.5998582,309.9300973,Dependency on single vendor hardware
Genome-scale Systems Biology,Berkeley Quantum Devices Group Research Group,50996.82641,52,6.014861222,2.810225304,948.1385057,428.7351694,Underutilization of SIMD instructions
Computational Fluid Dynamics for Energy,Georgia Tech Computational Combustion Laboratory Modeling Team,43988.50606,54,6.366001889,2.420221829,998.6577904,354.5317963,Network latency bottlenecks
Computational Chemistry for Energy Storage,Brookhaven National Laboratory Collider-Accelerator Department Science Collaboration,43438.08265,58,5.644504013,2.37303585,927.6598218,345.8894656,GPU memory capacity limits
High Energy Physics Event Simulation,Princeton Plasma Physics Laboratory Data Science Unit,53667.66696,55,5.43694015,2.78718357,997.8088918,363.5328661,Interconnect congestion
AI Climate Modeling and Prediction,Cambridge Computational Biology Group Prediction Unit,46770.43195,64,5.631110497,2.497624457,924.7207937,316.0828974,I/O throughput limitations
Turbulent Combustion Modeling,Tokyo Institute of Technology HPC Center Scientific Computing Division,50776.88649,62,5.743758591,2.435037621,989.8592629,336.0602505,NUMA-related performance penalties
Accelerator Beam Dynamics Simulation,Los Alamos National Laboratory Materials Physics and Applications HPC Lab,49317.58925,51,6.051294232,2.473492274,989.4757412,331.2966792,Underutilization of SIMD instructions
Computational Chemistry for Energy Storage,Stanford Genome Technology Center Data Science Unit,44014.30489,57,5.859314473,2.652533706,1114.278989,382.4980714,NUMA-related performance penalties
High-Resolution Earth System Simulation,NERSC Data and Analytics Services Applied Science Group,54511.1439,60,5.502270511,2.528276552,978.7890428,348.4244856,Power consumption spikes during peak loads
AI Climate Modeling and Prediction,Columbia University Earth Institute Prediction Unit,49423.37507,58,5.973468935,2.153991765,970.4347533,333.1379207,MPI collective operation contention
Accelerator Beam Dynamics Simulation,MIT Plasma Science and Fusion Center Applied Science Group,47558.30858,64,6.152439493,2.441369835,857.9306213,370.0661603,Algorithmic instability with large datasets
Genome-scale Systems Biology,ORNL Climate Change Science Institute Scientific Computing Division,44832.35259,56,6.430171108,2.981503629,970.9360437,373.8980634,Insufficient profiling data for tuning
Geophysical Hazard Prediction,Georgia Tech Computational Combustion Laboratory Scientific Computing Division,50989.95994,52,5.692645211,2.667904149,1056.513268,372.5475553,Dependency on single vendor hardware
Plasma Fusion Simulation,Berkeley Quantum Devices Group Scientific Computing Division,46471.37441,50,5.463652923,3.089127981,1087.919456,367.76507,Fault tolerance under long runs
Molecular Materials Discovery,Cambridge Computational Biology Group HPC Lab,49524.91743,57,6.07720605,2.79850753,848.976127,341.6863331,Dataset transfer delays between facilities
Climate Risk and Resilience Modeling,Fermilab High Energy Physics Division Modeling Team,48922.07416,58,6.144336675,2.931944724,1071.013158,408.1494332,Power consumption spikes during peak loads
Computational Fluid Dynamics for Energy,Berkeley Quantum Devices Group Simulation Consortium,51121.86751,62,5.779332068,2.647791333,1095.73086,377.3478611,NUMA-related performance penalties
Accelerator Beam Dynamics Simulation,Columbia University Earth Institute Prediction Unit,50076.21215,56,5.895053936,2.600268781,957.367898,373.0196562,Scheduler queue delays
Genome-scale Systems Biology,Caltech Center for Advanced Computing Data Science Unit,45780.85844,60,6.357289552,2.899490249,965.0321622,374.4113832,NUMA-related performance penalties
Exascale Astrophysical Plasma Simulation,LBNL Computational Research Division Science Collaboration,54328.90492,56,6.589421952,3.120349227,1274.662186,399.2244155,Thermal throttling under sustained load
Computational Chemistry for Energy Storage,Stanford Genome Technology Center Modeling Team,53361.79563,47,7.038070278,3.466977495,1362.15244,393.8683798,Debugging complexity in large-scale runs
Astrophysical Simulations,Tokyo Institute of Technology HPC Center Prediction Unit,49564.63056,52,6.164536903,3.275244409,1316.735831,435.2044379,Insufficient burst buffer capacity
Nuclear Structure and Reactions Modeling,Max Planck Institute for Plasma Physics Technology Development Team,53700.99715,62,5.973548464,3.719815826,1260.518394,468.6556247,Dataset transfer delays between facilities
Renewable Energy Systems Optimization,SLAC National Accelerator Laboratory Machine Learning Group Data Science Unit,53577.70711,58,6.89016626,3.050535478,1253.629932,433.8050842,"Scaling inefficiencies beyond 1,000 nodes"
Exascale Astrophysical Plasma Simulation,LBNL Computational Research Division Science Collaboration,47698.59349,53,5.610535362,3.492968521,1291.776136,440.4261798,Load imbalance in parallel workloads
Extreme-Scale Materials Modeling,Cambridge Computational Biology Group Research Group,51203.46548,46,5.960957871,3.483672216,1366.244621,382.7418052,Power consumption spikes during peak loads
Renewable Energy Systems Optimization,LBNL Computational Research Division Research Group,57861.26989,48,6.209615517,3.548825134,1278.11659,409.9899738,Insufficient burst buffer capacity
Exascale Astrophysical Plasma Simulation,Princeton Plasma Physics Laboratory Technology Development Team,54624.92547,52,5.922261578,3.768997981,1267.025985,417.7904917,I/O throughput limitations
High-Resolution Earth System Simulation,Berkeley Quantum Devices Group Research Group,51998.25599,51,6.60920724,3.094892144,1229.654394,402.4795564,Compiler optimization issues
Astrophysical Simulations,Stanford Genome Technology Center Data Science Unit,55151.59239,50,6.091556462,3.754812188,1322.414839,457.5292535,Load imbalance in parallel workloads
Genome-scale Systems Biology,Caltech Center for Advanced Computing Simulation Consortium,53797.2537,61,5.539641227,3.449170097,1271.738109,371.9945537,Underutilization of SIMD instructions
Climate Risk and Resilience Modeling,ORNL Climate Change Science Institute Science Collaboration,49250.70353,54,5.518885039,3.615528894,1235.398014,449.8175907,Dependency on single vendor hardware
AI Climate Modeling and Prediction,ANL Materials Science Division Prediction Unit,48138.10052,60,6.485190378,3.609606286,1137.357548,425.9188887,Insufficient checkpoint/restart performance
Geophysical Hazard Prediction,SLAC National Accelerator Laboratory Machine Learning Group Science Collaboration,54797.51564,52,6.648674951,3.796932876,1351.406682,399.4912867,Fault tolerance under long runs
Exascale Astrophysical Plasma Simulation,Columbia University Earth Institute Modeling Team,49521.03768,57,6.278152184,3.589074074,1295.352361,437.7303424,GPU memory capacity limits
High-Resolution Earth System Simulation,Stanford Genome Technology Center Modeling Team,58963.9608,52,6.80080002,3.166908987,1264.949352,419.8156477,NUMA-related performance penalties
High Energy Physics Event Simulation,Caltech Center for Advanced Computing Science Collaboration,53877.14102,54,6.588157276,3.761213594,1235.483528,446.8316762,Software stack instability
Computational Fluid Dynamics for Energy,Georgia Tech Computational Combustion Laboratory Science Collaboration,52472.84965,45,6.384919316,3.070757324,1236.719316,421.3834431,Algorithmic instability with large datasets
Radiation Transport Modeling,University of Chicago Quantum Information Science Group Modeling Team,59588.22478,54,6.261653495,3.146671014,1202.815251,390.0469109,Performance regression with new compiler versions
Quantum Climate Modeling,Caltech Center for Advanced Computing Prediction Unit,52391.15889,59,6.896414449,3.55811785,1217.950532,412.3587832,Fault tolerance under long runs
Exascale Astrophysical Plasma Simulation,EPFL High Performance Computing Center Research Group,56652.96983,59,5.973805552,3.582655543,1247.445215,446.3701449,Data preprocessing bottlenecks
Nuclear Structure and Reactions Modeling,Stanford Genome Technology Center Applied Science Group,54096.98097,52,6.481479317,3.739726407,1227.332836,467.3411119,Network latency bottlenecks
Astrophysical Simulations,Max Planck Institute for Plasma Physics Simulation Consortium,63416.25544,54,5.937203479,3.126700614,1175.50719,439.287841,Debugging complexity in large-scale runs
Quantum Climate Modeling,Tokyo Institute of Technology HPC Center Prediction Unit,47217.92758,49,7.227271827,3.735253811,1317.864484,431.8159984,NUMA-related performance penalties
Turbulent Combustion Modeling,Cambridge Computational Biology Group Research Group,60594.95491,57,6.293083906,3.427149073,1224.281814,434.4941418,Compiler optimization issues
Astrophysical Simulations,Georgia Tech Computational Combustion Laboratory Simulation Consortium,51112.86842,52,7.097253956,3.274988664,1240.565908,463.3985348,MPI collective operation contention
Renewable Energy Systems Optimization,Fermilab High Energy Physics Division Simulation Consortium,54239.23924,54,6.168115806,3.207072114,1262.408991,409.1751489,Limited algorithmic scalability
Quantum Climate Modeling,MIT Plasma Science and Fusion Center Research Group,46524.87679,61,6.576760842,3.457671886,1217.713929,447.8503771,Underutilization of SIMD instructions
Extreme-Scale Materials Modeling,NERSC Data and Analytics Services Science Collaboration,52267.77323,55,6.283360321,3.30026892,1217.676098,384.4673093,Debugging complexity in large-scale runs
Geophysical Hazard Prediction,Fermilab High Energy Physics Division Scientific Computing Division,57419.63559,65,6.004125114,3.47371796,1323.293816,393.5445286,Load imbalance in parallel workloads
Genome-scale Systems Biology,Oxford Materials Modelling Laboratory HPC Lab,51424.96975,54,6.290556952,3.367750632,1178.384761,432.955766,Load imbalance in parallel workloads
Molecular Materials Discovery,Brookhaven National Laboratory Collider-Accelerator Department Science Collaboration,54668.14959,50,6.451154152,3.235221998,1190.924963,446.5083702,Dataset transfer delays between facilities
AI Climate Modeling and Prediction,Harvard Center for the Environment Data Science Unit,50405.18034,58,6.30138051,3.826850976,1268.062249,448.6887161,Insufficient checkpoint/restart performance
Nuclear Structure and Reactions Modeling,NERSC Data and Analytics Services Data Science Unit,56335.73974,51,6.52702265,3.239688285,1217.695616,503.1492719,Thermal throttling under sustained load
High-Resolution Earth System Simulation,University of Chicago Quantum Information Science Group Modeling Team,53272.27357,54,6.962843591,3.194863349,1181.882652,390.3410205,"Scaling inefficiencies beyond 1,000 nodes"
Astrophysical Simulations,Stanford Genome Technology Center Simulation Consortium,51255.96776,59,6.117225873,3.483534126,1266.080727,412.2605419,Fault tolerance under long runs
Molecular Materials Discovery,NERSC Data and Analytics Services Modeling Team,55080.64866,59,6.27741064,3.699170701,1169.421204,433.8069181,Insufficient burst buffer capacity
